name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
bittu576,30,20,0.6666666666666666,0,25.841836771235368,15.008012205250656,0.16048529514245563,93.51643209384831,0.003,0.066,0,0,0,32,15,0E-14,0.0,2
bashar-touma,182,31,0.17032967032967034,0,26.47466829893768,15.037710180353358,0.10025168715290655,149.9995721510147,0.001,0.137,0,2,4339,23,24,0E-14,0.08695652173913043,2
avinashsingh,953,325,0.3410283315844701,2,38.37567052006454,15.000988043110592,1.7542378995819055,8.551284889401739,0.052,2.329,19,45,2927,112,31,0E-14,0.4017857142857143,2
zarzish,3697,22546,6.09845820935894,8,40.687903989404234,15.008246551828456,8.120136367446198,1.8482751856233401,0.06,15.089,0,38,1804,10,12,0E-14,3.8,2
muhammad007,310,135,0.43548387096774194,2,45.77880897459622,15.036495028325687,11.255437104649788,1.335931682485604,0.227,15.137,0,61,489,1282,47,0.05928237129485,0.04758190327613104,2
aabidlone,798,429,0.5375939849624061,2,37.38280423533283,3.8901924826685614,3.8901924826685614,1.0,0.0,1.748,2,9,1989,499,57,0.00400801603206,0.018036072144288578,2
manish1702,270,76,0.2814814814814815,0,25.90402131025499,5.188154662659282,5.188154662659282,1.0,0.0,0.044,0,17,3378,166,77,0E-14,0.10240963855421686,2
jobscenar,208,25,0.1201923076923077,0,42.05374418063331,15.005487475275205,1.6552707241362308,9.065276909978282,0.0,4.162,0,18,4181,80,68,0.05000000000000,0.225,2
lelong,227,3,0.013215859030837005,0,43.7672907347272,686.2684465043089,9.472292040068998,72.45009376836211,4.534,9.139,0,28,77,116,30,0.01724137931034,0.2413793103448276,2
richie211,498,685,1.3755020080321285,0,36.94722903365797,15.07969829630088,1.507133564107511,10.005548715405805,0.026,1.929,6,0,0,94,24,0E-14,0.0,2
manishyadav007,290,182,0.6275862068965518,0,26.981201178016548,15.019362242043847,0.2065894748981804,72.70148805715434,0.0,0.208,0,17,1079,229,40,0.08296943231441,0.07423580786026202,2
deepakrandive1,223,227,1.0179372197309418,1,36.35967241507061,15.09986589716715,0.38324435048934186,39.40010042649561,0.028,0.218,30,162,858,105,53,0.08571428571428,1.542857142857143,2
jjqf,249,113,0.4538152610441767,0,35.3839155294921,15.069382620052865,0.6530477884345838,23.075466890678207,0.007,1.074,0,11,3951,515,68,0.02330097087378,0.021359223300970873,2
kailash1997,328,555,1.6920731707317074,0,28.35894820413708,15.023967102482294,0.17647570872667018,85.1333433416141,0.007,0.145,0,38,1081,222,46,0.00900900900900,0.17117117117117117,2
creativecorner,363,68,0.18732782369146006,0,57.06449497786861,141.09731070120588,141.09731070120588,1.0,0.019,259.03,0,20,1131,169,40,0E-14,0.11834319526627218,2
halim08,907,972,1.071664829106946,8,48.469756672837605,17.332555388083676,17.332555388083676,1.0,0.037,31.942,6,145,844,557,31,0.03770197486535,0.26032315978456017,2
sourour-selmi,360,1716,4.766666666666667,0,25.0,15.03164225681112,0.11879932702426499,126.52969198841403,0.001,0.033,0,3,616,13,10,0E-14,0.23076923076923078,2
sardar-sani,357,218,0.6106442577030813,10,50.28867609511125,26.405480296981324,26.405480296981324,1.0,0.118,51.44,0,18,644,450,71,0.04444444444444,0.04,2
bigotemaifriend,833,437,0.524609843937575,3,50.98385854096562,121.57278224161455,121.57278224161455,1.0,0.154,84.715,4,78,1194,2045,57,0.00391198044009,0.038141809290953545,2
